Country,PDI,Total vizualizations,Avg num viz,num with edits,avg edits,num w/ replace,num with Dupes
Israel,13,73,3.65,13,3.615384615,2,1
Australia,38,115,5.75,13,4.866666667,4,3
India,77,71,3.55,13,2.714285714,6,7
Russia,93,155,7.75,12,2.928571429,2,4
